ID_AREA,ID_DEPENDENCIA_ADM,TX_RESP_Q017,TX_RESP_Q029,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2,3,?,?,?,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,A,A,?,5.8,'ACIMA DA MEDIA'
2,3,?,?,?,5.8,'ACIMA DA MEDIA'
2,3,?,?,?,5.8,'ACIMA DA MEDIA'
2,3,A,A,D,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,?,?,?,5.8,'ACIMA DA MEDIA'
2,3,A,A,C,5.8,'ACIMA DA MEDIA'
2,3,A,B,?,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,A,?,?,5.8,'ACIMA DA MEDIA'
2,3,A,B,A,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,?,?,?,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,?,?,?,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,B,A,A,5.8,'ACIMA DA MEDIA'
2,3,A,B,A,5.8,'ACIMA DA MEDIA'
2,3,A,A,C,5.8,'ACIMA DA MEDIA'
2,3,A,A,C,5.8,'ACIMA DA MEDIA'
2,3,A,A,C,5.8,'ACIMA DA MEDIA'
2,3,A,B,C,5.8,'ACIMA DA MEDIA'
2,3,A,?,A,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,A,A,?,5.8,'ACIMA DA MEDIA'
2,3,A,A,C,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,B,A,C,5.8,'ACIMA DA MEDIA'
2,3,A,A,D,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,5.8,'ACIMA DA MEDIA'
2,3,?,?,?,5.8,'ACIMA DA MEDIA'
2,3,A,A,C,5.8,'ACIMA DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,B,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,B,4.8,'ABAIXO DA MEDIA'
2,3,?,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,C,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,B,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,C,A,C,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,B,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,B,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,B,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,D,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,E,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,B,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,B,B,C,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,B,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,B,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,B,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,C,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,B,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,B,4.8,'ABAIXO DA MEDIA'
2,3,B,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,C,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,B,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,B,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,B,D,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,A,A,C,4.8,'ABAIXO DA MEDIA'
2,3,A,A,A,4.8,'ABAIXO DA MEDIA'
2,3,A,B,C,4.8,'ABAIXO DA MEDIA'
2,3,?,A,C,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,?,?,?,4.8,'ABAIXO DA MEDIA'
2,3,B,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,B,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,B,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,B,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,B,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,B,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,B,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,B,A,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,B,B,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,B,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,B,A,4.5,'ABAIXO DA MEDIA'
2,3,C,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,B,A,4.5,'ABAIXO DA MEDIA'
2,3,B,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,B,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,B,A,A,4.5,'ABAIXO DA MEDIA'
2,3,B,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,B,D,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,B,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,?,?,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,B,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,D,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,A,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
2,3,?,?,?,4.5,'ABAIXO DA MEDIA'
2,3,A,A,C,4.5,'ABAIXO DA MEDIA'
